Airline,Origin,Delay (min)
B6,ALB,45.5
B6,ATL,41.4
B6,AUS,98.33333333333333
B6,BDL,38.0
B6,BNA,12.333333333333334
B6,BOS,35.21705426356589
B6,BQN,17.25
B6,BTV,7.0
B6,BUF,19.307692307692307
B6,BUR,15.0
B6,BWI,13.166666666666666
B6,CHS,36.333333333333336
B6,CLE,8.75
B6,CLT,30.666666666666668
B6,DAB,42.0
B6,DCA,12.96551724137931
B6,DEN,-9.333333333333334
B6,DFW,93.0
B6,DTW,-8.25
B6,EWR,40.172413793103445
B6,FLL,31.68831168831169
B6,HOU,7.0
B6,HPN,51.90909090909091
B6,IAD,12.833333333333334
B6,JAX,12.3
B6,JFK,25.448
B6,LAS,6.545454545454546
B6,LAX,27.470588235294116
B6,LGA,34.11764705882353
B6,LGB,11.0
B6,MCO,57.92063492063492
B6,MSY,23.8
B6,OAK,-2.6
B6,ORD,30.2
B6,ORH,-1.5
B6,PBI,47.375
B6,PDX,17.333333333333332
B6,PHL,-1.3333333333333333
B6,PHX,-4.5
B6,PIT,9.0
B6,PSE,41.666666666666664
B6,PSP,-13.0
B6,PVD,84.0
B6,PWM,32.666666666666664
B6,RDU,66.85714285714286
B6,RIC,28.714285714285715
B6,RNO,-6.0
B6,ROC,36.0
B6,RSW,11.75
B6,SAN,32.2
B6,SAV,18.0
B6,SEA,16.6
B6,SFO,6.071428571428571
B6,SJC,-3.0
B6,SJU,29.20689655172414
B6,SLC,18.5
B6,SMF,60.666666666666664
B6,SRQ,19.0
B6,STT,-4.0
B6,STX,8.0
B6,SWF,42.5
B6,SYR,23.4
B6,TPA,38.705882352941174
DL,ABQ,40.666666666666664
DL,ALB,71.0
DL,ANC,-5.333333333333333
DL,ATL,12.280269058295964
DL,ATW,-1.0
DL,AUS,-1.9090909090909092
DL,AVP,4.0
DL,BDL,16.571428571428573
DL,BHM,18.0
DL,BIL,47.5
DL,BIS,-5.0
DL,BNA,30.714285714285715
DL,BOI,-3.3333333333333335
DL,BOS,21.53125
DL,BUF,66.8
DL,BWI,16.833333333333332
DL,BZN,9.166666666666666
DL,CAK,55.5
DL,CHA,2.5
DL,CHO,-11.0
DL,CHS,0.75
DL,CID,-10.0
DL,CLE,0.25
DL,CLT,2.3333333333333335
DL,CMH,7.333333333333333
DL,COS,1.0
DL,CVG,19.09090909090909
DL,DAB,0.25
DL,DAL,23.333333333333332
DL,DAY,-2.0
DL,DCA,7.375
DL,DEN,8.826086956521738
DL,DFW,2.090909090909091
DL,DTW,10.33695652173913
DL,ECP,3.0
DL,EGE,-2.0
DL,ELP,31.0
DL,EWR,50.666666666666664
DL,EYW,32.0
DL,FAI,-6.0
DL,FAR,17.0
DL,FAY,1.0
DL,FLL,20.23076923076923
DL,FNT,11.0
DL,FSD,0.0
DL,GEG,17.25
DL,GPT,10.0
DL,GRR,27.6
DL,GSO,33.5
DL,GSP,11.0
DL,HDN,-1.0
DL,HNL,5.5
DL,HOU,-5.333333333333333
DL,HSV,-4.0
DL,IAD,33.4
DL,IAH,14.2
DL,ICT,-7.0
DL,IND,17.875
DL,JAC,-1.5
DL,JAN,5.0
DL,JAX,16.333333333333332
DL,JFK,13.055555555555555
DL,KOA,13.333333333333334
DL,LAS,6.08
DL,LAX,3.1772151898734178
DL,LEX,15.0
DL,LGA,9.138461538461538
DL,LIH,-2.5
DL,LIT,-1.0
DL,MCI,27.90909090909091
DL,MCO,10.576923076923077
DL,MDT,-4.0
DL,MDW,70.0
DL,MEM,19.75
DL,MHT,-3.0
DL,MIA,3.7586206896551726
DL,MKE,20.428571428571427
DL,MLB,11.333333333333334
DL,MSN,100.5
DL,MSO,-1.5
DL,MSP,7.4576271186440675
DL,MSY,11.5
DL,MTJ,-3.0
DL,MYR,-1.0
DL,OAK,-1.0
DL,OGG,-7.4
DL,OKC,0.0
DL,OMA,19.25
DL,ORD,40.0
DL,ORF,35.4
DL,PBI,33.05
DL,PDX,-2.764705882352941
DL,PHL,8.0
DL,PHX,1.85
DL,PIT,10.333333333333334
DL,PNS,14.4
DL,PSP,-4.0
DL,PVD,7.0
DL,PWM,-6.0
DL,RDU,2.4166666666666665
DL,RIC,3.2
DL,RNO,15.5
DL,ROA,-5.0
DL,ROC,37.5
DL,RSW,3.7083333333333335
DL,SAN,24.214285714285715
DL,SAT,3.8333333333333335
DL,SAV,12.0
DL,SDF,-1.6666666666666667
DL,SEA,7.781818181818182
DL,SFO,1.6666666666666667
DL,SJC,-4.333333333333333
DL,SJU,1.4
DL,SLC,3.797752808988764
DL,SMF,-2.25
DL,SNA,-3.5
DL,SRQ,-7.142857142857143
DL,STL,32.0
DL,STT,53.0
DL,STX,-5.0
DL,SYR,0.0
DL,TLH,1.0
DL,TPA,9.566666666666666
DL,TRI,10.0
DL,TUL,-7.0
DL,TUS,20.666666666666668
DL,VPS,-5.5
DL,XNA,-4.0
EV,ABE,-2.0
EV,ABQ,8.0
EV,AEX,-9.5
EV,AGS,12.0
EV,AMA,132.0
EV,ATL,36.54347826086956
EV,AVP,106.0
EV,BDL,-6.0
EV,BGR,276.0
EV,BHM,5.8
EV,BNA,176.0
EV,BOS,6.25
EV,BRO,
EV,BTR,5.2
EV,BTV,40.0
EV,BUF,97.0
EV,BWI,38.5
EV,CAE,13.5
EV,CAK,65.0
EV,CHA,12.0
EV,CHS,4.4
EV,CLE,24.5
EV,CLL,23.0
EV,CLT,-4.0
EV,CMH,31.0
EV,COS,-7.0
EV,COU,81.0
EV,CRP,-8.5
EV,CRW,25.75
EV,DAY,24.0
EV,DCA,39.833333333333336
EV,DFW,27.933333333333334
EV,DSM,89.0
EV,DTW,78.0
EV,ECP,1.2
EV,ELM,-1.0
EV,ELP,-5.75
EV,EVV,41.0
EV,EWR,32.40384615384615
EV,EYW,12.0
EV,FNT,3.0
EV,FSD,-6.666666666666667
EV,FSM,-11.0
EV,FWA,-1.0
EV,GNV,17.0
EV,GPT,-6.25
EV,GRK,306.0
EV,GRR,-6.0
EV,GSO,-8.0
EV,GSP,-3.5
EV,HOB,-8.0
EV,HPN,68.25
EV,HSV,-4.75
EV,IAH,-0.10576923076923077
EV,ICT,-7.0
EV,IND,-8.6
EV,JAN,-6.833333333333333
EV,LBB,28.5
EV,LCH,1.5
EV,LEX,4.0
EV,LFT,2.0
EV,LGA,10.363636363636363
EV,LIT,-1.0
EV,LNK,3.0
EV,LRD,
EV,MAF,24.4
EV,MEM,19.333333333333332
EV,MFE,-5.0
EV,MHK,1.0
EV,MHT,-8.0
EV,MKE,17.6
EV,MLI,-2.0
EV,MLU,-5.25
EV,MOB,1.5
EV,MSN,17.666666666666668
EV,MSP,54.75
EV,MYR,-3.0
EV,OMA,27.4
EV,ORD,16.113636363636363
EV,ORF,22.5
EV,PHF,25.0
EV,PHL,15.0
EV,PIT,-4.0
EV,PNS,21.0
EV,PVD,14.75
EV,PWM,33.0
EV,RIC,12.2
EV,ROC,3.5
EV,ROW,116.0
EV,RST,-5.0
EV,SAF,21.5
EV,SAV,1.5
EV,SBN,6.5
EV,SDF,33.75
EV,SGF,23.25
EV,SHV,-6.666666666666667
EV,STL,44.42857142857143
EV,TLH,-4.0
EV,TUL,-0.75
EV,TUS,-23.0
EV,TYS,-1.5
EV,VPS,26.25
EV,XNA,4.0
F9,ABQ,-5.5
F9,ATL,74.375
F9,AUS,74.5
F9,BNA,-3.75
F9,BUF,68.5
F9,CLE,4.666666666666667
F9,CLT,23.333333333333332
F9,CMH,20.0
F9,COS,6.4
F9,CVG,5.142857142857143
F9,DCA,-6.666666666666667
F9,DEN,15.14
F9,DFW,-5.0
F9,DTW,-8.0
F9,GRR,
F9,IAD,119.66666666666667
F9,IAH,10.5
F9,IND,3.6666666666666665
F9,ISP,52.57142857142857
F9,LAS,48.666666666666664
F9,LAX,2.3333333333333335
F9,LGA,-2.0
F9,MCI,-11.5
F9,MCO,73.02702702702703
F9,MEM,14.0
F9,MIA,56.18181818181818
F9,MKE,24.714285714285715
F9,MSP,18.666666666666668
F9,MSY,31.25
F9,OKC,6.5
F9,OMA,-15.333333333333334
F9,ONT,-1.0
F9,ORD,36.142857142857146
F9,PBI,83.0
F9,PDX,-9.0
F9,PHL,45.9
F9,PHX,-3.0
F9,PSP,1.0
F9,PVD,280.0
F9,RDU,38.5
F9,RSW,45.54545454545455
F9,SAN,15.5
F9,SAT,
F9,SEA,-9.5
F9,SFO,-0.75
F9,SJC,20.5
F9,SLC,61.0
F9,SNA,0.0
F9,STL,2.8
F9,TPA,27.307692307692307
F9,TTN,81.6
G4,ABE,7.5
G4,ABQ,3.0
G4,ATW,0.0
G4,AUS,10.333333333333334
G4,AVL,95.4
G4,AZA,4.9375
G4,BGR,2.0
G4,BIS,27.5
G4,BLI,17.75
G4,BLV,-3.6666666666666665
G4,BMI,68.0
G4,BOI,22.0
G4,BZN,7.5
G4,CID,11.0
G4,CPR,100.0
G4,CVG,87.55555555555556
G4,DAY,13.5
G4,DSM,68.33333333333333
G4,EUG,402.0
G4,EWR,614.0
G4,FAR,-10.0
G4,FAT,-9.0
G4,FCA,5.0
G4,FLL,31.166666666666668
G4,FNT,59.0
G4,FSD,-9.0
G4,FWA,330.0
G4,GFK,22.0
G4,GJT,-2.0
G4,GRI,2.5
G4,GRR,138.66666666666666
G4,GSP,12.5
G4,HGR,26.0
G4,HTS,3.5
G4,IAG,27.666666666666668
G4,ICT,-8.0
G4,IND,44.333333333333336
G4,LAS,6.617647058823529
G4,LAX,54.0
G4,LCK,0.0
G4,LEX,74.0
G4,MCI,7.333333333333333
G4,MDT,-3.0
G4,MEM,-2.0
G4,MFE,0.0
G4,MFR,55.0
G4,MKE,19.0
G4,MLI,32.5
G4,MOT,-2.0
G4,MRY,0.0
G4,OAK,250.33333333333334
G4,OGD,2.0
G4,ORF,67.0
G4,OWB,49.0
G4,PBG,27.333333333333332
G4,PGD,26.0
G4,PIA,-13.5
G4,PIE,12.892857142857142
G4,PIT,18.0
G4,PSP,5.0
G4,PVD,15.0
G4,PVU,0.0
G4,RAP,7.0
G4,RDU,8.0
G4,RFD,65.0
G4,RNO,54.0
G4,ROA,79.0
G4,SAT,-13.0
G4,SBN,82.0
G4,SCK,12.0
G4,SFB,24.61904761904762
G4,SGF,12.0
G4,SMX,10.0
G4,SWF,-1.0
G4,SYR,-10.0
G4,TOL,1.0
G4,TRI,15.0
G4,TUL,10.0
G4,TYS,5.666666666666667
G4,USA,-2.0
G4,XNA,19.0
G4,YNG,15.0
HA,HNL,0.14444444444444443
HA,ITO,-5.0
HA,JFK,25.0
HA,KOA,-3.1739130434782608
HA,LAS,-0.5
HA,LAX,1.6666666666666667
HA,LIH,-1.391304347826087
HA,OAK,31.0
HA,OGG,2.5
HA,PDX,-4.0
HA,PHX,6.0
HA,PPG,-11.0
HA,SAN,-5.0
HA,SEA,58.333333333333336
HA,SFO,42.5
HA,SJC,-6.5
HA,SMF,2.0
MQ,ABI,209.33333333333334
MQ,ABQ,-5.0
MQ,ACT,67.0
MQ,AEX,106.5
MQ,ALB,-2.0
MQ,ALO,6.0
MQ,AMA,-0.5
MQ,ATL,
MQ,ATW,2.5
MQ,AZO,1.0
MQ,BDL,29.0
MQ,BHM,-3.8
MQ,BIL,33.0
MQ,BIS,140.0
MQ,BNA,9.75
MQ,BOI,-8.0
MQ,BPT,4.333333333333333
MQ,BUF,0.0
MQ,BWI,-1.3333333333333333
MQ,BZN,27.0
MQ,CAE,8.0
MQ,CHO,3.0
MQ,CHS,-2.3333333333333335
MQ,CID,43.8
MQ,CLE,61.8
MQ,CLL,199.25
MQ,CLT,20.5
MQ,CMH,29.857142857142858
MQ,CMI,13.5
MQ,COU,29.0
MQ,CRP,32.0
MQ,CVG,48.36363636363637
MQ,CWA,2.5
MQ,DAY,37.0
MQ,DBQ,10.0
MQ,DCA,40.0
MQ,DFW,38.54
MQ,DSM,87.66666666666667
MQ,DTW,-5.0
MQ,ELP,-0.75
MQ,EVV,-6.0
MQ,EWR,13.0
MQ,FAR,30.0
MQ,FSD,11.25
MQ,FSM,17.0
MQ,GCK,18.5
MQ,GGG,35.5
MQ,GJT,14.333333333333334
MQ,GNV,
MQ,GRB,51.0
MQ,GRK,82.0
MQ,GRR,49.857142857142854
MQ,GSO,26.833333333333332
MQ,GSP,-2.0
MQ,HOU,-10.0
MQ,HPN,1.0
MQ,HSV,18.0
MQ,IAH,66.0
MQ,ICT,31.75
MQ,ILM,-1.0
MQ,IND,18.88888888888889
MQ,JAN,14.333333333333334
MQ,JAX,-1.5
MQ,JFK,10.428571428571429
MQ,JLN,19.0
MQ,LAN,11.0
MQ,LAW,39.0
MQ,LBB,69.0
MQ,LCH,14.5
MQ,LEX,6.0
MQ,LFT,43.0
MQ,LGA,3.5789473684210527
MQ,LIT,16.142857142857142
MQ,LRD,
MQ,MAF,46.0
MQ,MCI,7.0
MQ,MDT,-1.5
MQ,MEM,10.0
MQ,MFE,22.0
MQ,MGM,
MQ,MHK,11.333333333333334
MQ,MIA,13.3125
MQ,MKE,22.5
MQ,MLI,3.0
MQ,MQT,0.0
MQ,MSN,43.4
MQ,MSY,89.0
MQ,MTJ,16.5
MQ,OKC,11.833333333333334
MQ,OMA,7.666666666666667
MQ,ORD,26.99264705882353
MQ,ORF,-1.0
MQ,PIT,4.571428571428571
MQ,PNS,31.166666666666668
MQ,PVD,18.0
MQ,RAP,51.0
MQ,RDU,-4.5
MQ,RIC,1.5
MQ,ROC,12.0
MQ,RST,-2.0
MQ,SAV,
MQ,SDF,8.333333333333334
MQ,SGF,37.714285714285715
MQ,SHV,59.5
MQ,SJT,56.5
MQ,SPI,63.0
MQ,SPS,78.66666666666667
MQ,STL,0.0
MQ,SUX,114.33333333333333
MQ,SWO,80.0
MQ,SYR,82.5
MQ,TLH,16.0
MQ,TOL,11.0
MQ,TUL,11.5
MQ,TVC,-7.0
MQ,TXK,4.0
MQ,TYR,45.0
MQ,VPS,25.0
MQ,XNA,39.333333333333336
NK,ACY,-3.9
NK,ATL,23.6
NK,BDL,13.333333333333334
NK,BOS,41.857142857142854
NK,BWI,29.05
NK,CAK,3.5
NK,CLE,27.285714285714285
NK,DEN,3.888888888888889
NK,DFW,11.95
NK,DTW,12.172413793103448
NK,EWR,-0.5
NK,FLL,13.775510204081632
NK,IAG,-11.0
NK,IAH,3.375
NK,LAS,10.470588235294118
NK,LAX,3.227272727272727
NK,LBE,15.333333333333334
NK,LGA,31.636363636363637
NK,MCI,29.5
NK,MCO,25.027027027027028
NK,MSP,35.30769230769231
NK,MSY,10.0
NK,MYR,14.0
NK,OAK,-6.6
NK,ORD,19.72
NK,PBG,67.0
NK,PBI,34.0
NK,PDX,56.0
NK,PHL,6.125
NK,PHX,10.0
NK,PIT,-1.1428571428571428
NK,RSW,2.0588235294117645
NK,SAN,36.8
NK,SEA,-4.333333333333333
NK,SJU,41.25
NK,TPA,31.22222222222222
OH,ABE,6.5
OH,AGS,33.5
OH,ALB,17.0
OH,ATL,8.5
OH,AVL,-3.6
OH,AVP,-1.75
OH,BDL,39.25
OH,BHM,20.555555555555557
OH,BNA,19.666666666666668
OH,BTR,37.0
OH,BTV,71.25
OH,BUF,-7.0
OH,CAE,1.3333333333333333
OH,CAK,8.0
OH,CHA,23.6
OH,CHO,22.2
OH,CHS,9.666666666666666
OH,CID,165.0
OH,CLE,4.666666666666667
OH,CLT,26.68032786885246
OH,CMH,26.0
OH,CRW,32.2
OH,CVG,24.0
OH,DAB,7.25
OH,DAY,49.666666666666664
OH,DCA,45.63636363636363
OH,DSM,203.0
OH,DTW,10.6
OH,EVV,19.0
OH,EWN,50.8
OH,FAY,1.2857142857142858
OH,FWA,9.5
OH,GNV,19.0
OH,GPT,161.0
OH,GRR,32.5
OH,GSO,17.333333333333332
OH,GSP,22.857142857142858
OH,HPN,55.0
OH,HSV,14.0
OH,HVN,27.333333333333332
OH,IAD,7.5
OH,ILM,2.2857142857142856
OH,IND,44.75
OH,JAN,6.5
OH,JAX,36.666666666666664
OH,LEX,0.0
OH,LGA,41.333333333333336
OH,LIT,30.333333333333332
OH,MDT,29.0
OH,MEM,40.0
OH,MGM,-5.0
OH,MHT,40.0
OH,MKE,7.25
OH,MLB,38.0
OH,MOB,47.0
OH,MSN,1.0
OH,MYR,22.142857142857142
OH,OAJ,22.0
OH,OKC,-4.0
OH,OMA,-2.0
OH,ORD,113.5
OH,ORF,-4.5
OH,PHF,17.6
OH,PHL,31.53846153846154
OH,PIA,47.0
OH,PIT,49.333333333333336
OH,PNS,1.0
OH,PVD,
OH,PWM,38.0
OH,RDU,56.0
OH,RIC,26.88888888888889
OH,ROC,34.4
OH,RSW,38.0
OH,SAV,25.875
OH,SDF,-0.6
OH,SHV,10.0
OH,SRQ,48.4
OH,STL,81.0
OH,SYR,19.0
OH,TLH,36.2
OH,TOL,22.5
OH,TUL,-2.0
OH,TYS,8.555555555555555
OH,VPS,14.333333333333334
OH,XNA,39.0
OO,ABE,21.0
OO,ABQ,-0.8
OO,ABR,0.5
OO,ACV,20.0
OO,AGS,19.5
OO,ALB,83.0
OO,AMA,100.0
OO,APN,8.0
OO,ASE,53.810810810810814
OO,ATL,59.470588235294116
OO,ATW,-5.0
OO,AUS,171.4
OO,AVL,217.5
OO,AVP,9.0
OO,AZO,-12.0
OO,BDL,58.0
OO,BFL,-9.333333333333334
OO,BGM,-7.0
OO,BHM,68.5
OO,BIL,126.2
OO,BIS,12.666666666666666
OO,BJI,156.0
OO,BLI,28.5
OO,BMI,-1.6666666666666667
OO,BNA,44.53333333333333
OO,BOI,-0.88
OO,BRD,32.0
OO,BTM,-5.0
OO,BTR,20.0
OO,BTV,
OO,BUF,58.25
OO,BUR,25.0
OO,BZN,50.7
OO,CAK,1.5
OO,CDC,-9.0
OO,CGI,105.0
OO,CHA,9.0
OO,CHO,11.5
OO,CHS,72.5
OO,CID,52.5
OO,CIU,18.0
OO,CKB,72.5
OO,CLE,22.875
OO,CLT,-7.0
OO,CMH,10.666666666666666
OO,CMX,
OO,COD,-10.0
OO,COS,-4.769230769230769
OO,COU,7.0
OO,CPR,-10.0
OO,CVG,4.5
OO,CWA,91.0
OO,DAL,-4.5
OO,DAY,199.33333333333334
OO,DCA,103.0
OO,DEN,19.382978723404257
OO,DFW,74.27272727272727
OO,DHN,-4.0
OO,DLH,7.333333333333333
OO,DRO,5.4
OO,DSM,76.0
OO,DTW,25.05263157894737
OO,DVL,102.0
OO,EAU,600.5
OO,EGE,75.0
OO,EKO,-15.0
OO,ELP,-3.5
OO,ERI,-5.333333333333333
OO,ESC,-2.0
OO,EUG,5.857142857142857
OO,EVV,140.5
OO,FAR,69.0
OO,FAT,18.944444444444443
OO,FCA,11.428571428571429
OO,FLG,-9.5
OO,FNT,3.5
OO,FSD,-7.5
OO,FWA,33.7
OO,GCC,201.5
OO,GEG,-4.8
OO,GJT,-5.4
OO,GRB,0.5
OO,GRR,80.83333333333333
OO,GSP,-8.0
OO,GTF,10.0
OO,GTR,-4.0
OO,HDN,-6.333333333333333
OO,HIB,-4.0
OO,HLN,-4.0
OO,HSV,74.0
OO,HYS,-3.0
OO,IAD,46.0
OO,IAH,36.84615384615385
OO,ICT,68.28571428571429
OO,IDA,-7.4
OO,IFP,5.0
OO,IMT,4.0
OO,IND,84.66666666666667
OO,INL,-13.5
OO,ISN,10.0
OO,ITH,-11.5
OO,JAC,85.6
OO,JMS,71.0
OO,LAN,-2.5
OO,LAR,3.5
OO,LAS,21.333333333333332
OO,LAX,19.951807228915662
OO,LBB,1.0
OO,LEX,-7.5
OO,LFT,69.0
OO,LGA,7.125
OO,LGB,-6.5
OO,LNK,12.0
OO,LSE,93.6
OO,LWS,12.5
OO,MAF,-10.0
OO,MBS,49.857142857142854
OO,MCI,7.0
OO,MDT,105.5
OO,MDW,-10.0
OO,MEI,74.33333333333333
OO,MEM,-1.0
OO,MFR,1.6363636363636365
OO,MGM,27.0
OO,MKE,6.0
OO,MKG,
OO,MLI,6.5
OO,MLU,-2.0
OO,MMH,21.0
OO,MOB,-7.0
OO,MOT,13.0
OO,MQT,8.0
OO,MRY,-11.166666666666666
OO,MSN,19.285714285714285
OO,MSO,17.333333333333332
OO,MSP,19.01219512195122
OO,MTJ,-2.5
OO,OAK,6.5
OO,OKC,28.0
OO,OMA,22.11111111111111
OO,ONT,11.571428571428571
OO,ORD,76.07142857142857
OO,ORF,-4.0
OO,OTH,55.0
OO,PAH,
OO,PBI,0.0
OO,PDX,1.3157894736842106
OO,PHL,129.0
OO,PHX,3.081081081081081
OO,PIA,94.75
OO,PIB,1.5
OO,PIH,-10.0
OO,PLN,-3.5
OO,PSC,1.8888888888888888
OO,PSP,39.61538461538461
OO,PUB,-7.0
OO,RAP,61.4
OO,RDD,-13.666666666666666
OO,RDM,55.333333333333336
OO,RDU,24.666666666666668
OO,RHI,-6.0
OO,RIC,3.0
OO,RKS,-3.5
OO,RNO,-1.2
OO,ROA,-2.0
OO,ROW,2.0
OO,RST,102.5
OO,SAF,-8.0
OO,SAN,52.2
OO,SAT,0.75
OO,SAV,-4.0
OO,SBA,4.909090909090909
OO,SBN,23.285714285714285
OO,SBP,19.857142857142858
OO,SCE,-1.5
OO,SDF,-11.0
OO,SEA,22.75
OO,SFO,12.7
OO,SGU,-5.75
OO,SHV,8.6
OO,SJC,33.55555555555556
OO,SLC,2.84
OO,SMF,-3.4285714285714284
