Index,Date,Airline,Flight_Num,Origin,Destination,Air_Time,Distance,Dep_Time,Hour,Delay,Cancelled (Y/N)
4853,1/1/2018,MQ,3558,ORD,GRB,33,173,9:45,9,65,0
2311,1/1/2018,9E,3285,ORD,ATL,81,606,13:20,13,65,0
3560,1/1/2018,EV,4028,ORD,MKE,19,67,17:00,17,65,0
5433,1/1/2018,MQ,3923,ORD,GSO,77,589,13:41,13,66,0
5326,1/1/2018,MQ,3752,ORD,DBQ,29,147,16:21,16,66,0
13288,1/1/2018,YX,3449,ORD,IND,30,177,20:33,20,67,0
7896,1/1/2018,OO,5443,ORD,ATL,88,606,11:23,11,69,0
13423,1/1/2018,YX,3608,ORD,RDU,84,646,15:06,15,70,0
6890,1/1/2018,OO,3183,ORD,GRB,31,173,21:25,21,70,0
1276,1/1/2018,UA,459,ORD,DEN,126,888,17:21,17,71,0
3597,1/1/2018,EV,4078,ORD,PNS,113,794,8:45,8,72,0
15349,1/1/2018,AA,1394,ORD,SLC,181,1250,11:12,11,72,0
7937,1/1/2018,OO,5491,ORD,PIA,27,130,13:36,13,72,0
15389,1/1/2018,AA,1433,ORD,FLL,163,1182,13:02,13,72,0
665,1/1/2018,UA,1263,ORD,SEA,216,1721,20:30,20,72,0
8243,1/1/2018,OO,5948,ORD,GRR,30,137,18:48,18,73,0
8219,1/1/2018,OO,5901,ORD,OMA,67,416,13:49,13,74,0
4872,1/1/2018,MQ,3572,ORD,CLE,74,316,16:29,16,74,0
14,1/1/2018,UA,2413,ORD,BTV,99,763,22:30,22,76,0
15498,1/1/2018,AA,1557,ORD,DFW,105,802,9:56,9,77,0
6751,1/1/2018,OO,3048,ORD,TVC,45,224,14:37,14,77,0
15649,1/1/2018,AA,1152,ORD,SJC,247,1829,18:28,18,78,0
7815,1/1/2018,OO,5360,ORD,TUS,196,1437,10:38,10,79,0
6673,1/1/2018,OO,2964,ORD,LSE,44,215,18:02,18,79,0
7566,1/1/2018,OO,5061,ORD,CMX,63,360,22:27,22,79,0
7577,1/1/2018,OO,5072,ORD,SPI,32,174,22:27,22,80,0
8158,1/1/2018,OO,5798,ORD,BOI,203,1437,20:38,20,81,0
111,1/1/2018,UA,2106,ORD,FLL,158,1182,15:12,15,82,0
4791,1/1/2018,MQ,3501,ORD,LAN,33,179,13:48,13,83,0
6636,1/1/2018,OO,2932,ORD,HSV,73,510,16:31,16,83,0
5595,1/1/2018,NK,745,ORD,TPA,131,1012,17:48,17,83,0
5252,1/1/2018,MQ,3470,ORD,CMH,46,296,13:39,13,84,0
5984,1/1/2018,OH,5482,ORD,BDL,98,783,16:39,16,84,0
6675,1/1/2018,OO,2966,ORD,BNA,59,409,23:13,23,84,0
16083,1/1/2018,AA,2626,ORD,BOS,117,867,14:45,14,85,0
1573,1/1/2018,UA,202,ORD,OGG,518,4184,11:26,11,86,0
13353,1/1/2018,YX,3519,ORD,CVG,42,264,9:12,9,87,0
3764,1/1/2018,EV,4289,ORD,CHS,102,760,16:18,16,88,0
5263,1/1/2018,MQ,3696,ORD,CMI,24,135,21:32,21,88,0
15714,1/1/2018,AA,1218,ORD,ORF,92,717,13:39,13,89,0
761,1/1/2018,UA,1151,ORD,IAD,78,588,22:39,22,89,0
5304,1/1/2018,MQ,3734,ORD,CVG,44,264,20:10,20,90,0
7660,1/1/2018,OO,5199,ORD,COS,125,911,20:47,20,92,0
7909,1/1/2018,OO,5456,ORD,SYR,80,607,8:03,8,93,0
3466,1/1/2018,EV,3914,ORD,MSN,29,108,10:38,10,93,0
14197,1/1/2018,AA,2193,ORD,MIA,156,1197,20:04,20,94,0
7923,1/1/2018,OO,5472,ORD,GRB,35,173,22:29,22,94,0
7930,1/1/2018,OO,5481,ORD,LGA,93,733,11:36,11,96,0
14689,1/1/2018,AA,1085,ORD,SEA,227,1721,18:37,18,97,0
7622,1/1/2018,OO,5143,ORD,EAU,47,269,21:14,21,99,0
8074,1/1/2018,OO,5662,ORD,DCA,81,612,18:45,18,100,0
206,1/1/2018,UA,2001,ORD,LAX,235,1744,10:44,10,104,0
7957,1/1/2018,OO,5515,ORD,BHM,82,584,17:15,17,105,0
8268,1/1/2018,OO,5999,ORD,GRR,32,137,17:33,17,108,0
5311,1/1/2018,MQ,3738,ORD,FAR,94,557,15:09,15,109,0
7539,1/1/2018,OO,5030,ORD,DLH,62,397,10:54,10,110,0
7793,1/1/2018,OO,5334,ORD,CHS,98,760,9:31,9,111,0
7625,1/1/2018,OO,5146,ORD,SPI,32,174,17:36,17,111,0
6003,1/1/2018,OH,5498,ORD,DAY,37,240,20:12,20,112,0
584,1/1/2018,UA,1510,ORD,EWR,91,719,12:29,12,114,0
6865,1/1/2018,OO,3162,ORD,COS,122,911,21:55,21,115,0
1443,1/1/2018,UA,312,ORD,SFO,238,1846,14:23,14,116,0
7898,1/1/2018,OO,5445,ORD,SBN,27,84,17:46,17,116,0
6870,1/1/2018,OO,3166,ORD,BNA,59,409,19:01,19,116,0
1122,1/1/2018,UA,592,ORD,LAX,223,1744,18:02,18,117,0
7565,1/1/2018,OO,5060,ORD,AVL,75,536,21:13,21,118,0
7809,1/1/2018,OO,5353,ORD,CWA,43,213,18:40,18,119,0
706,1/1/2018,UA,1223,ORD,BOS,105,867,21:20,21,121,0
11,1/1/2018,UA,2416,ORD,CLE,48,316,23:00,23,121,0
3020,1/1/2018,B6,1106,ORD,JFK,95,740,20:33,20,123,0
730,1/1/2018,UA,1186,ORD,LAX,214,1744,23:23,23,123,0
6880,1/1/2018,OO,3177,ORD,BNA,63,409,22:30,22,125,0
6823,1/1/2018,OO,3124,ORD,ICT,85,588,22:51,22,131,0
4976,1/1/2018,MQ,3658,ORD,FAR,87,557,22:50,22,135,0
1375,1/1/2018,UA,374,ORD,IAH,126,925,14:34,14,139,0
5098,1/1/2018,MQ,3332,ORD,GRR,,137,10:00,10,140,1
15499,1/1/2018,AA,1559,ORD,MSP,67,334,19:19,19,140,0
5335,1/1/2018,MQ,3763,ORD,SGF,64,438,22:47,22,142,0
4964,1/1/2018,MQ,3651,ORD,SYR,83,607,10:44,10,144,0
959,1/1/2018,UA,743,ORD,SFO,230,1846,20:07,20,145,0
1530,1/1/2018,UA,238,ORD,JAC,169,1162,11:32,11,146,0
7944,1/1/2018,OO,5498,ORD,BNA,58,409,16:12,16,147,0
8146,1/1/2018,OO,5769,ORD,TUL,91,585,11:53,11,148,0
5414,1/1/2018,MQ,3839,ORD,LIT,,552,22:33,22,148,1
6845,1/1/2018,OO,3141,ORD,MSN,29,108,14:28,14,149,0
